Asset label,Serial Number,Tag Mac Address,Department,Type,Status
asset0,AECP2N9,B8:9E:93:72:F3:22,R&D,Devices,In Use
asset1,LDGPD4G,24:71:27:BA:1D:06,HR,Software,In Use
asset2,0D9OMWP,E8:E8:E1:4E:6D:4D,HR,Devices,Available
asset3,TUSKXFA,88:BD:7B:21:58:F1,R&D,Devices,In Use
asset4,AILGWYI,74:36:00:E1:7E:D5,Sales,Software,Out of Service
asset5,5TYTU4Q,0A:E2:1D:3B:84:D7,Marketing,Devices,Available
asset6,FTM8310,0F:B4:70:F8:BC:85,HR,Devices,In Use
asset7,E95YCEV,B7:BC:5A:42:E8:F6,Marketing,Furniture,In Use
asset8,FJ5PC1S,7F:D3:34:AF:D3:F8,Sales,Software,Available
asset9,21BGFG5,2F:33:F1:C9:CE:BC,R&D,Furniture,In Use
asset10,GRHGUDP,1F:31:EE:26:C0:17,HR,Devices,In Use
asset11,GT4IMIS,F5:10:8B:13:8A:69,Marketing,Devices,In Use
asset12,9PQYDBB,FE:FA:32:51:13:C3,R&D,Software,In Use
asset13,NEBTK5J,D0:55:C0:F1:A9:44,HR,Software,Available
asset14,6WDT1CB,DC:54:7A:96:A4:3C,Finance,Furniture,Available
asset15,EALDK0V,DE:64:54:73:0F:02,Sales,Devices,Available
asset16,8HYKZM1,41:74:64:FE:AB:FF,Sales,Furniture,Available
asset17,YW8ZGUU,68:DC:57:F1:2D:F4,Sales,Devices,In Use
asset18,P4504K8,D2:2E:65:82:0E:75,Marketing,Devices,Available
asset19,9N2QYIW,1B:17:A2:46:EC:F4,Marketing,Software,In Use
asset20,FHG5QW8,EC:8C:4E:A1:F2:44,HR,Furniture,In Use
asset21,V491RX3,63:4E:68:0B:66:7C,HR,Software,Available
asset22,VW8DIWU,A2:EB:11:9A:2B:DE,Marketing,Devices,Available
asset23,6UP2VVZ,D6:79:02:46:F3:99,Finance,Software,In Use
asset24,7CEEAPY,65:25:20:75:00:CE,R&D,Furniture,In Use
asset25,92IVPAA,63:03:C7:E1:E8:8B,R&D,Devices,Available
asset26,LDXQWPC,E0:76:73:EB:B1:51,Marketing,Devices,In Use
asset27,ET3H9DX,87:E5:B5:C4:5D:72,Sales,Devices,Out of Service
asset28,9DATROT,AA:55:5E:E0:6B:EC,Finance,Software,Out of Service
asset29,A4S4X4R,79:5D:73:76:CC:49,R&D,Furniture,Out of Service
asset30,YLO6GBI,3C:F0:8B:9C:D7:C1,R&D,Software,Out of Service
asset31,0IOZ8R8,BE:57:74:A8:D7:6F,Sales,Devices,Out of Service
asset32,R25JIRZ,A0:F0:8C:86:61:CE,R&D,Devices,Out of Service
asset33,ANGYJ4B,33:6A:0C:87:C2:57,R&D,Furniture,Out of Service
asset34,OGVQDLO,02:EC:F9:B8:6F:36,R&D,Devices,Available
asset35,LKVRD1S,D8:68:49:72:07:44,Sales,Software,Available
asset36,UHSCPDT,80:7C:9A:69:CB:50,Marketing,Software,In Use
asset37,DI35X3F,D3:9E:CF:6E:96:BA,Marketing,Furniture,In Use
asset38,8BFNSGX,6E:D4:A0:78:E0:EB,R&D,Furniture,Available
asset39,3D6VBBW,5C:CD:E4:58:D6:6D,Finance,Software,Available
asset40,S8EWUF6,2B:1E:38:12:DC:B0,Marketing,Furniture,Available
asset41,WJ2EII7,C6:67:E7:F6:47:00,HR,Software,Out of Service
asset42,94ZAYMC,A0:50:68:09:2E:2B,Sales,Furniture,Available
asset43,NGKWIYF,BF:73:5E:DB:43:37,Finance,Software,Available
asset44,ZZZH849,A9:7E:BC:B8:B7:A5,HR,Devices,In Use
asset45,LHHN74F,B4:1A:FB:FB:88:E0,HR,Furniture,Available
asset46,UN1UP5A,55:C8:A2:7C:92:6D,R&D,Furniture,Available
asset47,ZHL8BIP,B3:F8:60:A3:C4:0D,Finance,Furniture,Available
asset48,TXCZRLK,F3:02:65:BD:B9:FE,Finance,Devices,Available
asset49,X82C5O6,6F:AB:88:A2:A3:EE,Finance,Devices,Out of Service
asset50,TXKCWXJ,0E:E1:9D:9A:8D:A6,Sales,Software,Available
asset51,SUVVPAV,FE:E9:E4:A4:1B:DE,HR,Furniture,In Use
asset52,960RY5C,1B:17:38:ED:F1:BF,Marketing,Furniture,Out of Service
asset53,12MKB08,8C:BA:F9:4D:97:48,Finance,Software,Out of Service
asset54,6R82R30,56:11:4C:67:96:75,Finance,Furniture,Available
asset55,R9ZWZ2M,60:A1:DF:4D:1B:50,HR,Devices,Out of Service
asset56,WJE8AAL,83:B8:80:DA:19:98,Finance,Devices,Available
asset57,HB30330,D6:04:4B:06:D1:5E,Marketing,Software,Available
asset58,QODJL5K,60:ED:47:CD:B9:9E,Marketing,Devices,Out of Service
asset59,Z7Q9WMG,22:E1:03:EA:86:81,HR,Furniture,Available
asset60,GKS2RQ0,C6:31:D8:8F:7D:E3,HR,Furniture,Available
asset61,UIJ7G3D,AD:A0:A3:9A:4D:3B,HR,Furniture,In Use
asset62,7EXB6BH,AC:43:A9:9F:EE:FD,HR,Software,Out of Service
asset63,NFGT3L0,C7:44:72:DD:04:0B,Marketing,Software,Available
asset64,E8KLR52,D0:19:11:AF:17:DA,R&D,Software,Available
asset65,9SYISY0,C2:B4:96:62:C3:DB,Finance,Software,Available
asset66,0VF2L0A,D1:66:58:87:81:B6,HR,Software,Out of Service
asset67,IQUP4N1,BA:C3:1F:FB:2B:4C,Finance,Furniture,Available
asset68,IF8AST0,3F:5C:EC:44:4B:5C,HR,Devices,Available
asset69,9K3I1FE,04:A7:0E:1B:0C:10,R&D,Furniture,Available
asset70,TK4SB6H,02:E8:AD:E3:F8:B4,Sales,Devices,Available
asset71,9YVR4RF,03:43:7F:F4:25:FB,Sales,Devices,Available
asset72,R0EGCFC,87:64:4F:FF:09:B2,R&D,Software,Out of Service
asset73,ZDJ97SI,C0:3D:B6:56:E2:53,HR,Furniture,In Use
asset74,WM60YZC,46:12:B8:A4:05:DF,R&D,Devices,In Use
asset75,YYPS2F3,9B:13:F1:C5:0C:03,Finance,Furniture,Out of Service
asset76,XMEKNID,13:9A:1D:7B:99:B2,Marketing,Software,In Use
asset77,XNR8FN9,99:15:E5:09:4F:FF,HR,Devices,Out of Service
asset78,8HGSUEP,5D:5F:D6:A1:A0:11,Sales,Furniture,Out of Service
asset79,SUAYWOC,3A:40:32:A1:CF:10,Marketing,Software,Out of Service
asset80,SQBZAXY,04:2A:6B:06:5C:25,Sales,Devices,Available
asset81,19U205J,A7:9E:79:B2:F6:5B,Sales,Software,In Use
asset82,Y7T1SVM,34:C4:96:79:08:08,Sales,Devices,In Use
asset83,RN453HG,C7:D0:25:67:71:DF,Finance,Devices,Out of Service
asset84,TSMQ04O,0B:A3:D0:FA:B0:C4,R&D,Software,Out of Service
asset85,TWPNGLE,28:6C:E0:83:7D:9E,Sales,Software,Out of Service
asset86,77SDOOG,C6:47:88:2F:7F:79,Sales,Furniture,Out of Service
asset87,7MHG25W,51:F3:AA:C9:EF:5F,Finance,Furniture,In Use
asset88,E9XQS5R,37:8A:6C:93:9D:99,R&D,Devices,Out of Service
asset89,TYD6AZ2,E7:C6:2E:C4:27:CC,Sales,Software,Out of Service
asset90,U3UFPON,BC:3A:80:67:CE:00,Marketing,Devices,Out of Service
asset91,1CAHBMM,A5:8D:52:83:AD:8A,Finance,Furniture,Available
asset92,42H67AJ,F8:8E:43:7E:A2:86,R&D,Furniture,In Use
asset93,20GJKB6,C7:14:1A:FC:65:F2,Finance,Devices,In Use
asset94,6PERWYK,56:B8:D1:39:2B:5F,HR,Software,Out of Service
asset95,XCJL0B6,18:91:01:0A:4C:E6,Sales,Furniture,Out of Service
asset96,1AUZ1DW,88:03:DB:35:E4:13,R&D,Furniture,Out of Service
asset97,IYJSZNQ,E5:15:96:2D:C3:72,HR,Software,In Use
asset98,ZDAMBF5,BD:9E:29:A8:B1:A9,Finance,Software,In Use
asset99,7YZCN3G,E0:5F:D7:51:28:3B,HR,Devices,In Use
asset100,DOUWPKY,2A:61:E8:89:68:23,R&D,Furniture,Available
asset101,XMZ6OIJ,F6:4E:A1:31:36:7B,Finance,Furniture,In Use
asset102,E932L0I,FB:7C:AD:BC:C6:AA,R&D,Software,In Use
asset103,Y9SWO09,9B:68:B4:31:A0:E4,HR,Software,Out of Service
asset104,K2O2HME,34:95:E5:1C:F3:93,Marketing,Software,In Use
asset105,V7ZPSEV,90:DE:C3:D6:F0:C7,R&D,Furniture,Out of Service
