Tag Name,Mac Address,Label
 Minew Plus Tag 1,B8:9E:93:72:F3:22,
 Minew Plus Tag 2,24:71:27:BA:1D:06,
 Minew Plus Tag 3,E8:E8:E1:4E:6D:4D,
 Minew Plus Tag 4,88:BD:7B:21:58:F1,
 Minew Plus Tag 5,74:36:00:E1:7E:D5,
 Minew Plus Tag 6,0A:E2:1D:3B:84:D7,
 Minew Plus Tag 7,0F:B4:70:F8:BC:85,
 Minew Plus Tag 8,B7:BC:5A:42:E8:F6,
 Minew Plus Tag 9,7F:D3:34:AF:D3:F8,
 Minew Plus Tag 10,2F:33:F1:C9:CE:BC,
 Minew Plus Tag 11,1F:31:EE:26:C0:17,
 Minew Plus Tag 12,F5:10:8B:13:8A:69,
 Minew Plus Tag 13,FE:FA:32:51:13:C3,
 Minew Plus Tag 14,D0:55:C0:F1:A9:44,
 Minew Plus Tag 15,DC:54:7A:96:A4:3C,
 Minew Plus Tag 16,DE:64:54:73:0F:02,
 Minew Plus Tag 17,41:74:64:FE:AB:FF,
 Minew Plus Tag 18,68:DC:57:F1:2D:F4,
 Minew Plus Tag 19,D2:2E:65:82:0E:75,
 Minew Plus Tag 20,1B:17:A2:46:EC:F4,
 Minew Plus Tag 21,EC:8C:4E:A1:F2:44,
 Minew Plus Tag 22,63:4E:68:0B:66:7C,
 Minew Plus Tag 23,A2:EB:11:9A:2B:DE,
 Minew Plus Tag 24,D6:79:02:46:F3:99,
 Minew Plus Tag 25,65:25:20:75:00:CE,
 Minew Plus Tag 26,63:03:C7:E1:E8:8B,
 Minew Plus Tag 27,E0:76:73:EB:B1:51,
 Minew Plus Tag 28,87:E5:B5:C4:5D:72,
 Minew Plus Tag 29,AA:55:5E:E0:6B:EC,
 Minew Plus Tag 30,79:5D:73:76:CC:49,
 Minew Plus Tag 31,3C:F0:8B:9C:D7:C1,
 Minew Plus Tag 32,BE:57:74:A8:D7:6F,
 Minew Plus Tag 33,A0:F0:8C:86:61:CE,
 Minew Plus Tag 34,33:6A:0C:87:C2:57,
 Minew Plus Tag 35,02:EC:F9:B8:6F:36,
 Minew Plus Tag 36,D8:68:49:72:07:44,
 Minew Plus Tag 37,80:7C:9A:69:CB:50,
 Minew Plus Tag 38,D3:9E:CF:6E:96:BA,
 Minew Plus Tag 39,6E:D4:A0:78:E0:EB,
 Minew Plus Tag 40,5C:CD:E4:58:D6:6D,
